The Matcha Bar,hello@thematchabar.ie,hello@thematchabar.ie,Experienced Café Staff – Ready to Support Sales Targets,"Dear The Matcha Bar,

I hope you're doing well.

My name is Sreesha, and I am writing to express my interest in a part-time opportunity at The Matcha Bar.

I have previous experience working in cafés in India, where I developed strong customer service, sales, and teamwork skills.

In my previous roles, I was responsible for assisting customers, handling billing, managing orders efficiently during peak hours, maintaining cleanliness standards, and contributing to daily sales targets. Working in a fast-paced environment has helped me build excellent communication skills, patience, and the ability to handle pressure professionally.

I am confident that I can add value to your team by:
- Providing friendly and professional customer service
- Supporting the team in achieving sales targets
- Maintaining high hygiene and presentation standards
- Handling cash and POS systems responsibly
- Contributing positively to team coordination

I am available on both weekdays and weekends, including early morning or late evening shifts if required. I am flexible, quick to learn, and always willing to take initiative when needed.

I would truly appreciate the opportunity to contribute to your team and grow within your organization. I look forward to the possibility of discussing this further.

Best regards,
Sreesha
+353 831096848
mulasreesha@gmail.com",,Not Found
Barista Eric Levy,baristaericlevy@gmail.com,baristaericlevy@gmail.com,Experienced Café Staff – Ready to Support Sales Targets,"Dear Barista Eric Levy,

I hope you're doing well.

My name is Sreesha, and I am writing to express my interest in a part-time opportunity at Barista Eric Levy.

I have previous experience working in cafés in India, where I developed strong customer service, sales, and teamwork skills.

In my previous roles, I was responsible for assisting customers, handling billing, managing orders efficiently during peak hours, maintaining cleanliness standards, and contributing to daily sales targets. Working in a fast-paced environment has helped me build excellent communication skills, patience, and the ability to handle pressure professionally.

I am confident that I can add value to your team by:
- Providing friendly and professional customer service
- Supporting the team in achieving sales targets
- Maintaining high hygiene and presentation standards
- Handling cash and POS systems responsibly
- Contributing positively to team coordination

I am available on both weekdays and weekends, including early morning or late evening shifts if required. I am flexible, quick to learn, and always willing to take initiative when needed.

I would truly appreciate the opportunity to contribute to your team and grow within your organization. I look forward to the possibility of discussing this further.

Best regards,
Sreesha
+353 831096848
mulasreesha@gmail.com",,Not Found
Barista Course by Bartira,bartira@headstarcourses.ie,bartira@headstarcourses.ie,Experienced Café Staff – Ready to Support Sales Targets,"Dear Barista Course by Bartira,

I hope you're doing well.

My name is Sreesha, and I am writing to express my interest in a part-time opportunity at Barista Course by Bartira.

I have previous experience working in cafés in India, where I developed strong customer service, sales, and teamwork skills.

In my previous roles, I was responsible for assisting customers, handling billing, managing orders efficiently during peak hours, maintaining cleanliness standards, and contributing to daily sales targets. Working in a fast-paced environment has helped me build excellent communication skills, patience, and the ability to handle pressure professionally.

I am confident that I can add value to your team by:
- Providing friendly and professional customer service
- Supporting the team in achieving sales targets
- Maintaining high hygiene and presentation standards
- Handling cash and POS systems responsibly
- Contributing positively to team coordination

I am available on both weekdays and weekends, including early morning or late evening shifts if required. I am flexible, quick to learn, and always willing to take initiative when needed.

I would truly appreciate the opportunity to contribute to your team and grow within your organization. I look forward to the possibility of discussing this further.

Best regards,
Sreesha
+353 831096848
mulasreesha@gmail.com",,Not Found
Coffee District,coffeedistrictcafe@gmail.com,coffeedistrictcafe@gmail.com,Experienced Café Staff – Ready to Support Sales Targets,"Dear Coffee District,

I hope you're doing well.

My name is Sreesha, and I am writing to express my interest in a part-time opportunity at Coffee District.

I have previous experience working in cafés in India, where I developed strong customer service, sales, and teamwork skills.

In my previous roles, I was responsible for assisting customers, handling billing, managing orders efficiently during peak hours, maintaining cleanliness standards, and contributing to daily sales targets. Working in a fast-paced environment has helped me build excellent communication skills, patience, and the ability to handle pressure professionally.

I am confident that I can add value to your team by:
- Providing friendly and professional customer service
- Supporting the team in achieving sales targets
- Maintaining high hygiene and presentation standards
- Handling cash and POS systems responsibly
- Contributing positively to team coordination

I am available on both weekdays and weekends, including early morning or late evening shifts if required. I am flexible, quick to learn, and always willing to take initiative when needed.

I would truly appreciate the opportunity to contribute to your team and grow within your organization. I look forward to the possibility of discussing this further.

Best regards,
Sreesha
+353 831096848
mulasreesha@gmail.com",,Not Found
Like A Coffee,Cruisescoffee@aol.com,Cruisescoffee@aol.com,Experienced Café Staff – Ready to Support Sales Targets,"Dear Like A Coffee,

I hope you're doing well.

My name is Sreesha, and I am writing to express my interest in a part-time opportunity at Like A Coffee.

I have previous experience working in cafés in India, where I developed strong customer service, sales, and teamwork skills.

In my previous roles, I was responsible for assisting customers, handling billing, managing orders efficiently during peak hours, maintaining cleanliness standards, and contributing to daily sales targets. Working in a fast-paced environment has helped me build excellent communication skills, patience, and the ability to handle pressure professionally.

I am confident that I can add value to your team by:
- Providing friendly and professional customer service
- Supporting the team in achieving sales targets
- Maintaining high hygiene and presentation standards
- Handling cash and POS systems responsibly
- Contributing positively to team coordination

I am available on both weekdays and weekends, including early morning or late evening shifts if required. I am flexible, quick to learn, and always willing to take initiative when needed.

I would truly appreciate the opportunity to contribute to your team and grow within your organization. I look forward to the possibility of discussing this further.

Best regards,
Sreesha
+353 831096848
mulasreesha@gmail.com",,Not Found
Dublin Bar Academy,customercare@dublinbaracademy.com,customercare@dublinbaracademy.com,Experienced Café Staff – Ready to Support Sales Targets,"Dear Dublin Bar Academy,

I hope you're doing well.

My name is Sreesha, and I am writing to express my interest in a part-time opportunity at Dublin Bar Academy.

I have previous experience working in cafés in India, where I developed strong customer service, sales, and teamwork skills.

In my previous roles, I was responsible for assisting customers, handling billing, managing orders efficiently during peak hours, maintaining cleanliness standards, and contributing to daily sales targets. Working in a fast-paced environment has helped me build excellent communication skills, patience, and the ability to handle pressure professionally.

I am confident that I can add value to your team by:
- Providing friendly and professional customer service
- Supporting the team in achieving sales targets
- Maintaining high hygiene and presentation standards
- Handling cash and POS systems responsibly
- Contributing positively to team coordination

I am available on both weekdays and weekends, including early morning or late evening shifts if required. I am flexible, quick to learn, and always willing to take initiative when needed.

I would truly appreciate the opportunity to contribute to your team and grow within your organization. I look forward to the possibility of discussing this further.

Best regards,
Sreesha
+353 831096848
mulasreesha@gmail.com",,Not Found
Ebb&Flow Camden,Ebbandflowcoffee@gmail.com,Ebbandflowcoffee@gmail.com,Experienced Café Staff – Ready to Support Sales Targets,"Dear Ebb&Flow Camden,

I hope you're doing well.

My name is Sreesha, and I am writing to express my interest in a part-time opportunity at Ebb&Flow Camden.

I have previous experience working in cafés in India, where I developed strong customer service, sales, and teamwork skills.

In my previous roles, I was responsible for assisting customers, handling billing, managing orders efficiently during peak hours, maintaining cleanliness standards, and contributing to daily sales targets. Working in a fast-paced environment has helped me build excellent communication skills, patience, and the ability to handle pressure professionally.

I am confident that I can add value to your team by:
- Providing friendly and professional customer service
- Supporting the team in achieving sales targets
- Maintaining high hygiene and presentation standards
- Handling cash and POS systems responsibly
- Contributing positively to team coordination

I am available on both weekdays and weekends, including early morning or late evening shifts if required. I am flexible, quick to learn, and always willing to take initiative when needed.

I would truly appreciate the opportunity to contribute to your team and grow within your organization. I look forward to the possibility of discussing this further.

Best regards,
Sreesha
+353 831096848
mulasreesha@gmail.com",,Not Found
Little Collins CBD Dispensary,hempme@littlecollinscbd.com,hempme@littlecollinscbd.com,Experienced Café Staff – Ready to Support Sales Targets,"Dear Little Collins CBD Dispensary,

I hope you're doing well.

My name is Sreesha, and I am writing to express my interest in a part-time opportunity at Little Collins CBD Dispensary.

I have previous experience working in cafés in India, where I developed strong customer service, sales, and teamwork skills.

In my previous roles, I was responsible for assisting customers, handling billing, managing orders efficiently during peak hours, maintaining cleanliness standards, and contributing to daily sales targets. Working in a fast-paced environment has helped me build excellent communication skills, patience, and the ability to handle pressure professionally.

I am confident that I can add value to your team by:
- Providing friendly and professional customer service
- Supporting the team in achieving sales targets
- Maintaining high hygiene and presentation standards
- Handling cash and POS systems responsibly
- Contributing positively to team coordination

I am available on both weekdays and weekends, including early morning or late evening shifts if required. I am flexible, quick to learn, and always willing to take initiative when needed.

I would truly appreciate the opportunity to contribute to your team and grow within your organization. I look forward to the possibility of discussing this further.

Best regards,
Sreesha
+353 831096848
mulasreesha@gmail.com",,Not Found
Imbibe Coffee Roasters,info@imbibe.ie,info@imbibe.ie,Experienced Café Staff – Ready to Support Sales Targets,"Dear Imbibe Coffee Roasters,

I hope you're doing well.

My name is Sreesha, and I am writing to express my interest in a part-time opportunity at Imbibe Coffee Roasters.

I have previous experience working in cafés in India, where I developed strong customer service, sales, and teamwork skills.

In my previous roles, I was responsible for assisting customers, handling billing, managing orders efficiently during peak hours, maintaining cleanliness standards, and contributing to daily sales targets. Working in a fast-paced environment has helped me build excellent communication skills, patience, and the ability to handle pressure professionally.

I am confident that I can add value to your team by:
- Providing friendly and professional customer service
- Supporting the team in achieving sales targets
- Maintaining high hygiene and presentation standards
- Handling cash and POS systems responsibly
- Contributing positively to team coordination

I am available on both weekdays and weekends, including early morning or late evening shifts if required. I am flexible, quick to learn, and always willing to take initiative when needed.

I would truly appreciate the opportunity to contribute to your team and grow within your organization. I look forward to the possibility of discussing this further.

Best regards,
Sreesha
+353 831096848
mulasreesha@gmail.com",,Not Found
Foodgame,foodgamedublin@gmail.com,foodgamedublin@gmail.com,Experienced Café Staff – Ready to Support Sales Targets,"Dear Foodgame,

I hope you're doing well.

My name is Sreesha, and I am writing to express my interest in a part-time opportunity at Foodgame.

I have previous experience working in cafés in India, where I developed strong customer service, sales, and teamwork skills.

In my previous roles, I was responsible for assisting customers, handling billing, managing orders efficiently during peak hours, maintaining cleanliness standards, and contributing to daily sales targets. Working in a fast-paced environment has helped me build excellent communication skills, patience, and the ability to handle pressure professionally.

I am confident that I can add value to your team by:
- Providing friendly and professional customer service
- Supporting the team in achieving sales targets
- Maintaining high hygiene and presentation standards
- Handling cash and POS systems responsibly
- Contributing positively to team coordination

I am available on both weekdays and weekends, including early morning or late evening shifts if required. I am flexible, quick to learn, and always willing to take initiative when needed.

I would truly appreciate the opportunity to contribute to your team and grow within your organization. I look forward to the possibility of discussing this further.

Best regards,
Sreesha
+353 831096848
mulasreesha@gmail.com",,https://foodgame.ie/careers
